"","Protein","day1_04","day1_07","day1_09","day1_11","day1_14","day1_21","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank","method"
"732","Q13765",1064,1092,197,162,302,375,228891936,18346500,516,255,"KNN"
"733","Q99714",1065,1162,1056,734,372,422,1306831680,115226256,875,499,"KNN"
"734","Q92973",1070,1080,365,143,411,259,421794000,15222207,643,240,"KNN"
"735","O75369",1072,999,507,694,725,737,542960496,370821550,702,738,"KNN"
"736","P52565",1073,987,597,169,285,308,632253447,14834820,732,236,"KNN"
"737","Q00341",1074,846,1122,815,667,671,1019453688,364758955,830,729,"KNN"
"738","Q9NZI8",1075,1047,1005,214,333,346,1131152625,24656652,844,273,"KNN"
"739","Q96AY3",1078,594,920,677,489,203,589105440,67203759,721,391,"KNN"
"740","P07686",1079,177,140,483,566,381,26737620,104157018,233,479,"KNN"
"741","Q96IZ0",1081,1230,317,539,88,104,421492710,4932928,642,151,"KNN"
"742","P26196",1082,895,271,888,718,835,262433690,532382640,548,821,"KNN"
"743","Q14764",1083,1171,513,849,707,577,650583009,346340211,737,719,"KNN"
"744","Q9HAV7",1084,1243,869,719,167,53,1170901028,6363869,849,169,"KNN"
"745","O60506",1086,1216,490,408,460,233,647082240,43729440,735,331,"KNN"
"746","P00441",1088,1241,945,796,367,194,1275946560,56673608,867,362,"KNN"
"747","Q8NBS9",1090,1158,443,613,741,470,559163460,213489510,708,624,"KNN"
"748","Q13347",1091,464,572,309,201,169,289560128,10496421,573,198,"KNN"
"749","P30040",1092,1234,855,699,462,319,1152136440,103017222,845,477,"KNN"
"750","O95433",1096,1033,850,553,757,772,962342800,323175412,819,704,"KNN"
"751","P35237",1097,952,434,743,736,378,453245296,206708544,663,615,"KNN"
"752","P31939",1098,1255,492,718,175,282,677971080,35433300,750,313,"KNN"
"753","Q9UJ70",1100,818,994,528,586,428,894401200,132426624,800,525,"KNN"
"754","O94979",1101,1096,1124,950,650,280,1356326304,172900000,880,580,"KNN"
"755","Q16658",1102,944,1136,899,912,643,1181767168,527187984,852,819,"KNN"
"756","P36871",1103,1263,932,859,620,893,1298358948,475593940,873,796,"KNN"
"757","P43487",1105,1115,997,238,339,385,1228378775,31062570,858,297,"KNN"
"758","P21333",1106,697,273,322,172,137,210450786,7587608,504,178,"KNN"
"759","P14618",1107,185,608,418,558,529,124515360,123386076,417,513,"KNN"
"760","Q9Y678",1108,401,232,564,608,444,103079456,152252928,384,553,"KNN"
"761","P15586",1109,542,54,783,894,303,32458212,212100606,248,622,"KNN"
"762","O00429",1114,992,627,304,633,712,692890176,137011584,757,534,"KNN"
"763","Q0ZGT2",1115,524,672,178,325,461,392622720,26668850,623,285,"KNN"
"764","P61313",1117,1303,1059,175,550,787,1541322609,75748750,895,419,"KNN"
"765","P36957",1118,823,447,486,528,32,411290958,8211456,636,187,"KNN"
"766","Q15046",1121,268,204,165,405,538,61287312,35951850,312,315,"KNN"
"767","P56537",1123,1229,600,159,244,417,828100200,16177932,783,245,"KNN"
"768","P49748",1124,1160,708,57,26,391,923118720,579462,806,58,"KNN"
"769","O43396",1129,808,264,505,383,376,240829248,72724040,532,409,"KNN"
"770","Q9H8M2",1130,894,888,833,822,855,897075360,585440730,801,843,"KNN"
"771","P51665",1132,1240,825,636,322,746,1158036000,152774832,846,555,"KNN"
"772","P63104",1134,1178,511,616,807,852,682620372,423539424,752,767,"KNN"
"773","P42224",1136,1078,823,225,105,139,1007852384,3283875,826,126,"KNN"
"774","P43034",1139,1176,1078,981,748,707,1443942192,518788116,888,812,"KNN"
"775","P09429",1141,1268,479,333,349,332,693011452,38584044,758,318,"KNN"
"776","Q9P0K7",1143,1258,991,320,833,394,1424952954,105024640,886,482,"KNN"
"777","Q9Y6Y8",1144,1239,313,676,666,497,443651208,223757352,656,632,"KNN"
"778","O00203",1150,980,384,915,245,834,432768000,186961950,652,596,"KNN"
"779","P49458",1151,1210,624,856,670,743,869051040,426125360,797,769,"KNN"
"780","P28074",1154,769,985,795,723,409,874114610,235087065,799,641,"KNN"
"781","P39019",1155,1253,377,566,164,725,545600055,67297400,704,392,"KNN"
"782","Q8TEX9",1156,1274,1115,412,776,405,1642109560,129483360,903,522,"KNN"
"783","Q9Y490",1159,1186,908,201,422,295,1248113192,25022490,862,276,"KNN"
"784","Q9NQP4",1161,1008,430,122,110,97,503223840,1301740,683,86,"KNN"
"785","O75822",1162,1192,677,906,654,719,937715408,426024756,810,768,"KNN"
"786","P35222",1167,1106,361,86,76,105,465943422,686280,671,65,"KNN"
"787","P60660",1168,1101,910,873,887,819,1170230880,634193469,848,860,"KNN"
"788","P62269",1169,149,132,75,304,261,22991892,5950800,214,165,"KNN"
"789","P29966",1170,799,173,247,410,931,161725590,94282370,459,459,"KNN"
"790","Q07020",1174,1204,977,877,819,749,1380985592,537978987,884,826,"KNN"
"791","O43390",1175,123,148,537,537,362,21389700,104389578,207,481,"KNN"
"792","P31153",1177,1271,521,252,427,426,779398807,45839304,773,336,"KNN"
"793","Q02878",1178,1102,509,635,230,454,660761404,66306700,743,386,"KNN"
"794","P55036",1179,1223,98,433,444,436,141307866,83821872,437,433,"KNN"
"795","Q15084",1180,1118,954,954,918,790,1258554960,691859880,865,876,"KNN"
"796","P35580",1182,871,178,501,617,669,183254916,206799273,476,616,"KNN"
"797","Q96D15",1183,1145,776,641,850,774,1051119160,421713900,834,765,"KNN"
"798","Q58FF8",1184,830,1103,902,885,900,1083940160,718443000,838,882,"KNN"
"799","P61163",1188,539,648,808,908,713,414935136,523102432,638,817,"KNN"
"800","O95340",1189,1311,822,720,700,464,1281316338,233856000,870,640,"KNN"
"801","Q14498",1190,1157,993,223,896,876,1367192190,175031808,882,584,"KNN"
"802","P46821",1192,1184,83,297,137,156,117140224,6347484,409,168,"KNN"
"803","P62995",1193,626,1123,965,926,909,838676614,812273310,787,905,"KNN"
"804","P04632",1194,996,1113,767,576,586,1323606312,258890112,877,664,"KNN"
"805","P61960",1195,795,727,425,338,399,690668175,57316350,754,365,"KNN"
"806","P50995",1201,1308,40,563,653,693,62836320,254773827,314,662,"KNN"
"807","P35232",1202,1052,801,854,527,360,1012867704,162020880,827,564,"KNN"
"808","O95881",1203,368,195,771,730,418,86327280,235262940,360,642,"KNN"
"809","P23588",1210,237,1021,811,642,621,292792170,323331102,576,705,"KNN"
"810","P51659",1218,1024,887,995,606,759,1106294784,457654230,840,788,"KNN"
"811","Q14166",1219,717,300,423,366,440,262206900,68119920,547,396,"KNN"
"812","P07954",1220,979,683,618,624,306,815761540,118003392,779,504,"KNN"
"813","P68402",1222,374,939,923,846,880,429149292,687155040,649,874,"KNN"
"814","P06396",1224,1045,1148,1000,596,576,1468383840,343296000,891,718,"KNN"
"815","O14737",1226,1121,604,208,278,205,830104984,11853920,784,210,"KNN"
"816","Q07021",1227,1139,928,895,870,530,1296929184,412684500,872,760,"KNN"
"817","Q8NBJ5",1228,938,243,926,717,466,279902952,309396972,566,695,"KNN"
"818","P36405",1229,1110,612,730,945,826,834884280,569816100,786,834,"KNN"
"819","P40616",1231,385,208,864,788,655,98578480,445944960,374,779,"KNN"
"820","P13861",1232,100,168,350,380,535,20697600,71155000,205,404,"KNN"
"821","Q13162",1233,1122,1084,752,448,66,1499633784,22235136,893,266,"KNN"
"822","O15460",1234,170,318,984,931,840,66710040,769527360,322,895,"KNN"
"823","P35754",1236,1282,412,966,756,642,652835424,468850032,738,793,"KNN"
"824","P40925",1238,1187,321,289,311,320,471711426,28761280,678,291,"KNN"
"825","Q16777",1239,1228,1152,985,883,913,1752758784,794086315,907,900,"KNN"
"826","P04080",1240,1262,278,495,269,224,435036640,29826720,654,294,"KNN"
"827","P17655",1241,1017,940,922,909,903,1186371180,756802494,853,891,"KNN"
"828","Q7KZF4",1242,1242,522,543,146,158,805218408,12525924,778,218,"KNN"
"829","Q9HB71",1243,1317,1030,974,884,823,1686141930,708616168,904,878,"KNN"
"830","P48047",1244,1304,973,918,874,898,1578377248,720494136,896,883,"KNN"
"831","P83731",1245,882,770,153,502,180,845529300,13825080,789,228,"KNN"
"832","P62701",1246,931,731,792,548,551,847979006,239142816,793,647,"KNN"
"833","P62136",1249,1299,1044,818,702,651,1693838844,373827636,905,739,"KNN"
"834","Q9Y570",1250,1256,666,710,802,810,1045620000,461230200,833,790,"KNN"
"835","P62318",1252,926,1080,993,922,513,1252100160,469675098,863,794,"KNN"
"836","P50991",1258,1287,895,844,905,905,1449046170,691257100,889,875,"KNN"
"837","O00273",1259,767,383,239,561,702,369845099,94123458,611,458,"KNN"
"838","Q01469",1261,81,576,625,798,709,58833216,353613750,311,725,"KNN"
"839","P05067",1265,1316,483,593,299,807,804069420,143086749,777,542,"KNN"
"840","Q14315",1266,1161,639,940,841,833,939218814,658519820,811,866,"KNN"
"841","P62857",1267,833,1126,925,916,890,1188392786,754097000,854,890,"KNN"
"842","P62314",1268,1293,988,992,839,582,1619849712,484391616,901,801,"KNN"
"843","O60701",1269,1315,665,936,443,500,1109708775,207324000,841,617,"KNN"
"844","Q13595",1270,515,796,824,692,640,520623800,364933120,691,730,"KNN"
"845","Q9BRA2",1273,1189,779,463,799,768,1179092063,284111616,850,682,"KNN"
"846","P48444",1278,1275,670,517,688,784,1091731500,278865664,839,677,"KNN"
"847","Q15019",1279,1214,401,999,952,936,622635106,890180928,730,912,"KNN"
"848","P12004",1280,1273,640,910,921,733,1042841600,614334630,831,852,"KNN"
"849","Q1KMD3",1281,1309,964,986,719,752,1616463156,533118368,900,822,"KNN"
"850","P43686",1282,602,982,840,184,411,757872248,63524160,766,379,"KNN"
"851","O75718",1286,1163,551,403,459,723,824085518,133738371,782,529,"KNN"
"852","O95782",1287,986,998,816,797,868,1266444036,564505536,866,830,"KNN"
"853","Q16527",1288,1135,561,737,340,400,820114680,100232000,781,470,"KNN"
"854","P09496",1290,1310,743,753,712,566,1255595700,303452976,864,693,"KNN"
"855","Q96FQ6",1291,630,62,657,399,430,50426460,112721490,291,495,"KNN"
"856","Q9H8S9",1292,1212,1032,649,786,425,1616012928,216798450,899,628,"KNN"
"857","Q9BY44",1293,1298,967,900,878,766,1622929638,605293200,902,849,"KNN"
"858","P62424",1294,970,343,20,228,841,430526740,3834960,650,134,"KNN"
"859","P62851",1296,726,711,669,370,672,668977056,166340160,746,569,"KNN"
"860","P19338",1299,1314,723,946,848,879,1234078578,705140832,860,877,"KNN"
"861","P11940",1302,1238,362,555,614,507,583499112,172770390,717,579,"KNN"
"862","Q9ULV4",1306,1320,1150,862,358,839,1982508000,258912044,913,665,"KNN"
"863","Q8NCA5",1307,1172,1031,160,933,910,1579289924,135844800,897,533,"KNN"
"864","Q9UHV9",1312,581,370,490,709,791,282040640,274801310,568,672,"KNN"
"865","P11766",1313,1166,959,441,354,387,1468188722,60416118,890,376,"KNN"
"866","O00469",1316,1170,766,1013,951,610,1179425520,587651430,851,844,"KNN"
"867","P07951",1318,982,469,61,436,185,607015444,4920260,727,150,"KNN"
"868","Q9H2U2",1321,1013,1000,1015,953,456,1338173000,441086520,878,776,"KNN"
"869","P30044",1322,817,840,706,492,484,907262160,168118368,803,572,"KNN"
"870","P43243",1324,82,116,358,773,434,12593888,120102556,166,508,"KNN"
"871","P62316",1325,122,22,62,264,872,3556300,14272896,102,231,"KNN"
"872","P21291",1326,1065,395,506,629,584,557815050,185872016,707,593,"KNN"
"873","P60900",1328,912,78,480,657,757,94468608,238727520,369,646,"KNN"
"874","Q15435",1329,213,49,109,261,439,13870773,12489111,176,217,"KNN"
"875","P14868",1330,1280,1125,973,836,370,1915200000,300968360,911,689,"KNN"
"876","P62750",1332,1252,1058,960,957,922,1764388512,847059840,908,908,"KNN"
"877","Q12874",1336,130,146,687,777,701,25357280,374193099,225,740,"KNN"
"878","P26022",1339,841,927,941,929,52,1043893773,45457828,832,335,"KNN"
"879","Q8WUM4",1342,1318,290,711,226,202,512939240,32458572,688,302,"KNN"
"880","P12956",1344,916,415,92,130,13,510908160,155480,686,36,"KNN"
"881","Q9Y376",1346,695,118,889,307,613,110385460,167301799,395,571,"KNN"
"882","P36578",1347,546,698,422,547,542,513352476,125112028,689,514,"KNN"
"883","P35241",1348,1248,885,494,452,864,1488839040,192920832,892,605,"KNN"
"884","P46940",1350,511,950,884,935,911,655357500,752977940,740,889,"KNN"
"885","P17812",1353,1119,812,488,241,76,1229373684,8938208,859,191,"KNN"
"886","Q9H8Y8",1354,1313,476,788,669,797,846233752,420156084,791,762,"KNN"
"887","P52597",1359,853,842,643,622,606,976069134,242367276,820,652,"KNN"
"888","Q06323",1360,1326,626,997,963,901,1128903360,865060011,843,910,"KNN"
"889","P99999",1362,785,1130,977,355,801,1208162100,277814835,857,675,"KNN"
"890","Q99873",1365,239,923,548,917,838,301114905,421108408,579,764,"KNN"
"891","Q9NT62",1369,968,720,872,16,276,954138240,3850752,817,135,"KNN"
"892","Q16181",1370,137,291,1,268,130,54617790,34840,299,15,"KNN"
"893","Q9UBQ5",1374,1151,1153,943,683,937,1823439522,603492653,910,846,"KNN"
"894","Q13492",1377,347,143,267,518,562,68328117,77727972,327,422,"KNN"
"895","P10599",1380,1307,218,557,682,760,393197880,288704240,624,685,"KNN"
"896","Q9UJU6",1382,1312,830,292,337,310,1504942720,30505240,894,295,"KNN"
"897","Q9H444",1387,1270,986,930,733,942,1736829140,642151980,906,862,"KNN"
"898","P22314",1389,1063,359,989,949,891,530066013,836257851,698,907,"KNN"
"899","P30049",1392,1221,151,660,595,560,256644432,219912000,541,629,"KNN"
"900","O15212",1394,1329,707,667,804,704,1309806582,377532672,876,742,"KNN"
"901","P42766",1396,1027,325,656,481,477,465949900,150510672,672,552,"KNN"
"902","P40227",1398,873,1098,855,787,923,1340058492,621072855,879,855,"KNN"
"903","Q9Y224",1400,1203,771,928,895,935,1298518200,776573600,874,896,"KNN"
"904","P26373",1404,859,1060,367,86,143,1278398160,4513366,868,145,"KNN"
"905","Q96QK1",1405,1328,951,839,635,685,1774413840,364944025,909,731,"KNN"
"906","P17858",1407,1289,238,368,189,817,431642274,56823984,651,364,"KNN"
"907","Q15847",1408,1131,1010,271,499,557,1608372480,75322553,898,418,"KNN"
"908","Q96KP4",1409,899,1133,1007,938,920,1435160903,869000720,887,911,"KNN"
"909","Q9UL46",1412,1076,787,574,498,858,1195698544,245261016,856,656,"KNN"
"910","Q9NY33",1414,1291,758,605,600,255,1383709292,92565000,885,453,"KNN"
"911","P17987",1415,1305,1050,898,946,894,1938903750,759460152,912,892,"KNN"
"912","P23381",1416,656,1144,602,476,624,1062657024,178808448,835,587,"KNN"
"913","Q08257",1417,1272,213,550,529,345,383916312,100377750,620,471,"KNN"
