"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","mg_1","mg_2","mg_3","mg_4","mg_7"
"Q9H2U2",7.28141060332092,6.68220643737147,7.00778520567899,7.21159961802946,7.27722733971323,7.31076922440304,6.46852256275616,6.98952778888983,7.02748297092118,7.37383552739391
"Q9H307",7.31823775931129,6.80409234732174,7.27882272365107,7.30910510214718,6.88256998670284,7.10593562024789,7.37123327194248,6.89316803263628,7.21130098204311,7.24455945005942
"Q9H3P7",7.49311809654938,7.53656665366065,7.52606495531206,7.14278671344887,7.3407570612368,7.67600836788142,7.47545046488376,7.24929928724931,7.14679496959773,7.11368335805464
"Q9H3U1",7.26877641036102,7.32266048010854,7.06386997367296,7.05662435645058,7.10361328887798,7.41284378780529,7.27599302878971,7.32054964083114,7.26641037351085,6.60273392009043
"Q9H444",7.37485845647835,7.35097502945333,7.31337110313721,7.11154252323753,7.34806220299259,7.49848050205404,7.14003237854306,7.55123377282264,7.11554238426267,7.24037003068245
"Q9H488",7.44796212406817,7.61051333954806,7.62778419378154,7.3731672991369,7.09221279810098,7.30385510370644,7.32094393884501,7.52092001996896,7.63233767165099,6.95815079220962
"Q9H4A4",7.25196284805882,7.38413885383965,7.42634734275191,7.34551225879304,7.09527547298304,7.39965058195302,7.35161948543158,7.60550308036768,7.39831067546856,7.21064055810735
"Q9H4M9",8.37920413516063,8.29882359675237,8.11807374034706,7.24367487185643,7.7174703062267,8.25517658192827,8.19949566913195,8.12789039993538,8.06352648915598,7.71334976911324
"Q9H773",7.00218217305386,6.97597376539904,7.2259173336245,7.12397782465744,7.12366971233865,6.87123280870261,7.0575909056369,6.98062751625475,7.15290362014723,7.14652351977487
"Q9H7Z7",7.09307025047848,6.75643545819413,6.72165085906794,6.61312129289507,7.00074202807828,6.56270556738802,6.93812331792434,6.78036364541682,7.1419574653256,6.68112712411678
"Q9H8M2",8.07538613529398,8.13527151229626,7.99327863723204,8.04173905220718,7.31254172323678,7.94064137431792,8.15206155764319,7.9803947579317,8.06995902562075,7.07019005639167
"Q9H8S9",7.41745860697223,7.23963038161527,7.41435079702449,7.3915641203608,6.8526887060652,7.55020274854665,7.29440524049767,7.55417390208704,7.37482778887399,6.77603292361795
"Q9H8Y8",7.46349749142117,7.40918866595317,7.48253045459915,7.47469275099101,7.32536796319028,7.37509908115842,7.2382000305467,7.47471465780984,7.39910753114295,7.23587808549647
"Q9H910",7.1279775212535,7.82050070909806,7.76413383819916,7.42459988909601,7.29304958401536,7.37691232194535,7.0720590217672,7.76973247974368,7.69871862641002,7.1023172394541
"Q9HAV7",7.43658789314949,7.51387967338873,7.47373043799462,7.47715553824978,6.99762071822204,7.36864102086841,7.37621611047243,7.40509232170929,7.25328730160252,6.99507658350016
"Q9HB07",7.84085929865294,7.59402551830394,8.09713658969745,6.64647675886079,6.97931956513858,7.34413889747753,7.59443152279467,7.73936575738538,7.88256733885545,7.1539470983354
"Q9HB71",7.75418964037105,7.97199737850533,7.50337467275654,7.86235876817785,7.6462215896054,7.74235833571982,7.84351330931833,7.73706982887334,7.69780075799079,7.62103771701588
"Q9HB90",6.73079836378519,6.76219566851192,6.78838038825042,6.98054077990708,7.18905410632108,6.64183140896832,7.3485270523835,6.67445793483306,6.79138658340106,7.00804664657981
"Q9HBL0",7.52301979802771,7.39390193339174,7.54238085964352,6.98751548233112,7.1881041366197,7.66036127059453,7.4590329076902,7.32830122375845,7.14942350393439,6.93609382466912
"Q9HC38",7.43479004825519,7.46012069795317,7.56216622808162,6.98977125648806,6.97939167762188,7.37505824760212,7.33266253743659,6.97530026673384,7.51047693753106,7.40943836026579
"Q9HD26",6.89890924339481,6.98627570572415,7.11124463319508,7.06328143403694,7.14701266097127,7.08704864622569,6.93639442420954,7.00722207225146,7.23936325671043,6.90795206408124
"Q9NP61",6.94742536628138,6.97613487582508,6.94606232169401,6.98363706769014,7.22393112603276,7.08570248116983,7.09569009085678,6.96187922238485,6.95746153623942,6.98959200634053
"Q9NP72",6.95557651797617,7.21708089101477,6.95584979437435,7.03198222720394,6.9841175756805,6.97065374041731,7.01557296748907,7.21530745930214,7.15039993536475,7.44779397777134
"Q9NP97",7.49385376951181,7.57697939265415,7.47279376180879,7.70426160181935,7.01263721436679,7.55182703533961,7.55647477233653,7.63435225412496,7.58604438951465,6.94953645845563
