"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11"
"P11766",7.92119840005267,7.75023890081753,7.96486850493706,7.98274605394241,7.37660595357231,7.4712561717409,7.17720784976369,7.33468586886558,7.66813778970348,7.88712175656445,7.70395923740724,7.93653526280147,7.85704372055878,7.26345541962847,7.21724872041484,7.42937029476862,7.73058840686961,7.78700293141607
"P11940",8.89678140736279,8.94997405330616,8.98309784763993,8.77044580946109,8.33141826541837,8.35661308762636,7.88787605770747,8.25005373556443,8.23791608709962,8.89251228455352,8.94417719851222,9.00026557517058,8.71720570648933,8.23476459654014,7.99574483531786,8.31240704933787,8.39933456198779,8.40149291764753
"P12004",7.98655074393406,8.02951973919527,8.02748841872259,7.97100971318512,7.37552663449657,7.31424437061976,7.40676942471127,6.96970102996987,7.40349921968536,7.9460889548187,8.06879714866218,8.0321957658745,7.94743510105073,7.81989728697345,7.41869533985238,7.52692536849416,7.31363679347087,7.6976099996456
"P12081",7.84543388125275,7.94485935501488,7.75760806597136,7.35633829323284,6.97335202243422,7.37537190393866,7.12218245370711,7.73480641580893,7.05482557239748,8.02786906229062,7.63643810752031,7.56071218134485,7.5761756937751,7.69705583943607,7.01945891818791,7.90724782490735,7.28104910650768,7.46432506293906
"P12109",7.64975294991699,7.76217519067791,7.6573166941646,7.57074942413469,6.96788414625891,7.50324410322746,7.10063442528543,7.94407839020846,7.51216764944057,7.37682655815602,7.44555284557596,7.23000392838188,7.62008117308713,6.96622705789857,6.87306919969254,6.78429252130818,7.64597445718722,7.64960766294785
"P12268",8.41853171623356,8.4100076013059,8.41449012277683,8.26588803993749,7.96709638284438,7.69888575897059,7.42363024132252,7.8448771141722,8.0163187225927,8.21891273060467,8.39810716307883,8.32112688852798,8.23716754426083,7.5368512206354,7.36819322898064,7.70525976911025,8.06630034115464,8.09159120504331
"P12270",8.10684863404592,8.3029684701113,8.09005882725957,8.01513210998099,7.28791960817902,7.36904389242198,7.20786410769093,7.23028753060484,7.29635213694373,7.76311380017355,8.10691911446086,8.00389799931622,7.94145395796986,6.7254729155203,7.01451920586386,7.22591953822973,7.39416094681636,7.12291478086651
"P12763",9.04115590248649,8.87176090288966,8.71766986440274,8.5872555819426,7.27574910940792,7.63097383450596,7.11955888656984,7.71436570878183,7.89875776789131,8.81925478831367,8.68799213817272,8.73928440970291,8.5506757098402,7.4183204692411,7.58759366644646,7.38664195135831,7.45344379632263,7.45377711177107
"P12814",9.51427461510008,9.47106461180487,9.45174629652838,9.23102277640974,9.18374019379414,9.00640732757338,8.97731012293571,9.1768588741846,9.31058811506665,9.38733717671019,9.28528214611288,9.34791367190303,9.39734448921728,9.07648073187415,8.94166148848784,9.19633345219727,9.39172538953272,9.46251695211105
"P12955",7.00653887153063,6.92636577442861,7.0160544011403,6.96003367744714,7.14856286050182,7.01268200925007,7.12837502790827,7.56493759474,7.40515604407974,7.07012521986529,7.02474829562804,7.01100279626718,7.05091330730283,6.99311067074947,7.42407053944302,7.09016664583742,6.70977715800321,6.83940883493828
"P12956",8.80771559315729,8.69473657824697,8.64281218779766,8.45651506198478,7.95126250640237,7.12722043523836,7.31185169788556,7.25703934926308,7.39036659581192,8.75856954576165,8.60493933138618,8.61317750139748,8.43173630648232,8.08402832906869,6.89375417762467,7.78464510579373,8.02732595426693,7.83993758474529
"P13010",8.75430846225685,8.69337855144885,8.54990120222049,8.50138905602257,8.30634728233006,8.17724394873759,7.78082270754607,8.24065938549033,7.65912119229268,8.66336003540602,8.59968746329784,8.48173820068634,8.58781012933374,8.43365375065001,7.94712085106634,8.14032464299794,8.21783436682753,7.882409580237
"P13489",8.17310845754484,8.0003466466789,8.09345644621887,7.95458849729219,7.19044695105373,7.30593126429984,7.45594758901021,7.73643253612618,7.83613571011652,8.10302857919269,7.51147247643147,7.87615395606973,7.66603258151595,7.83028224253736,7.35088953096714,7.94590824410629,7.94389132392425,8.0239561306408
"P13639",9.48981996502888,9.51701857795657,9.4945083371813,9.36534968955033,9.03308032864536,9.00174417738936,8.89382284048284,9.13723246759551,9.08866000011995,9.45436419300821,9.45177787731669,9.42904478750225,9.44462582552286,9.0880078505099,9.0733022844508,9.01337499402243,9.21342855168396,9.0419947310667
"P13667",9.07234637075772,9.05629053154408,9.00783302069727,8.81982221808893,8.54648510376325,8.33842991817168,8.61624640365872,8.99889120871101,8.91142951488247,8.87922913088493,8.84716773045225,8.88060755444064,8.98361532896103,8.96620669313729,8.67231917257456,8.85983088628512,9.01884380811514,8.93423703793051
"P13674",8.34740821732665,8.38769401575358,8.05191675081223,8.18354739809315,8.4594764642132,7.39721324832901,8.31349068239953,8.79848705186264,8.71065243642446,8.14543003200365,8.00549851604852,8.03783407516718,8.30090468088492,8.45993222061666,7.77850535715045,8.54825722082133,8.63781696750114,8.6851279057698
