	level_0	Symbols	ID	ctr_1	ctr_2	ctr_3	ctr_4	ctr_7	ctr_8	ctr_9	ctr_10	ctr_11	ctr_14	ctr_21	Mg_1	Mg_2	Mg_3	Mg_4	Mg_7	Mg_8	Mg_9	Mg_10	Mg_11	Mg_14	Mg_21	Sites	Effect
31	31	FERMT2	FERMT2	7.76375733343608	7.94524694977008	7.747303026415069	7.33665982345442	7.7735963081379476	8.28503944736652	8.045948538105334	8.046104787246039	7.660495506382359	7.662644522688828	7.386409778881913	7.807264355276107	7.6850516922326335	7.780756426114891	8.008088936291578	7.953638903390939	7.681575877079565	7.656826209166954	7.895494369976075	7.768349462169596	7.7797191152434975	7.290056882303365		
32	32	USO1	USO1	8.052309099647324	7.955529009036724	7.807162809471061	7.589715085985023	8.037745129269592	8.071918810363806	7.182271956694186	7.911690158753861	8.014142361545005	7.921821683853804	8.114043562548078	7.855446464315734	7.33209492844608	7.987143188172001	8.073241647611999	7.911125634963119	7.197996897597136	7.92201402321897	8.096284178244865	8.053884790394692	8.21850924719893	7.387923466973437		
33	33	SFPQ	SFPQ	8.478003423598137	8.50796375754458	8.46067237187743	8.391852159058638	8.326130956710795	7.9847882616671795	8.047235915459682	8.362256220783097	8.123492301422651	7.82715595105972	8.168114286819533	8.482644947392942	8.543360188211743	8.473136473456478	8.485764002284947	8.376777635025299	8.33033258922298	8.04453976039241	8.244499778833843	8.174670241487048	7.778925052441096	7.316997170689212		
34	34	RPL4	RPL4	8.624385241420265	8.608087238735642	8.472829556712705	8.475147976918247	7.73189483894544	7.913188441933261	6.9820721357720865	7.572674150739064	8.079253622430077	8.222638447166434	8.297760511099133	8.658316727178102	8.591910100931143	8.607594404013138	8.386106407136076	8.003546693102132	7.549787718291278	7.443794770302706	8.332801903177984	8.295457138072562	8.225180008177682	7.991265958048304		
35	35	EIF4A1	EIF4A1	9.15060295179301	9.210880090306865	9.163638359628923	9.049256797232227	8.944847720863244	9.011739561388318	8.778339403895485	8.926409335174236	8.955937770392804	8.05173119605985	9.026533264523296	9.014268457209642	9.060811119791346	9.090434416175121	9.067777358633316	9.025797241310292	8.934836665215546	8.929495559155406	8.971836913857542	8.865985887295256	8.90593073349173	8.809579913908864		
36	36	TGM2	TGM2	8.071034675054152	8.060282229438346	8.068593980976651	7.907524219674992	8.583821987082016	8.508946979821875	8.307731306161607	8.38753219463435	8.072507235528803	8.117536432710338	8.171141151028381	7.940068013739353	7.792398694191473	8.05173119605985	8.013679697291192	8.160078181020872	7.928375366184779	8.176438555741045	8.013595523537289	8.120902817614526	8.259378828382964	7.9629562074028835		
37	37	PHGDH	PHGDH	7.934407542884521	7.998834528357989	7.9062164837058315	7.919371011534774	8.12768778753985	8.09822826550294	8.174728333311894	8.228503016659257	8.056142262059053	7.653434429803495	7.996415346163988	8.086359830674748	8.068371418032644	7.99254468163885	8.010215125214227	8.242665636645263	8.178113252314631	8.406301678770776	8.267570626569338	8.2413472172382	8.217273326129321	7.680136000399677		
38	38	RPS3A	RPS3A	8.045401222995842	8.137828663756581	7.936845368561505	7.950734723519534	7.964490626621415	8.047703108134304	7.643195972076743	8.011232010319366	8.071771579416756	8.010215125214227	7.932397655003465	8.395343869356829	8.366833708239003	7.854973673726417	7.9810026899414	8.152685756036785	7.481700548621874	7.993872510309525	8.167258243043628	8.388616220951455	8.193235941639754	7.6500353966070485		
39	39	EEF1A1	EEF1A1	9.491067394653292	9.453150094810788	9.281714970027297	9.214896807560221	9.497855340131178	9.76118333985796	9.559643336466724	9.520994167111088	9.047703108134304	8.708777707890155	9.241745652570645	9.368547197567656	9.351834943477442	9.415240523913974	9.412981052757543	9.555300054669642	9.463609336403467	9.37390459247497	9.207122497650964	9.048558324898481	9.355930187078869	9.033785516842231		
40	40	DPYSL2	DPYSL2	8.278410601475816	8.211681076299138	8.180211922348942	8.177478782542323	7.046026669702541	7.821480774946339	7.359607844797206	7.493681066331961	7.550986177622661	7.264794219407156	7.986753824846176	8.102879434869378	8.112739022360172	8.242491735011312	8.160738568112581	7.849560674739912	7.377215156263061	7.76666561621731	7.921171257974408	7.6902492556890785	7.797267540830717	7.877711045532886		
