Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O15460,8.164852469,8.109149548,8.075921546,8.069789349,8.229422474,7.560432983,7.965822162,8.696927888,8.435181591,8.572666744,8.497751069,8.094707727,7.961406597,8.067151413,8.047616032,7.700464706,7.725033214,8.324648665,8.527443966,8.432802097,8.559204126,8.683965939
O15511,8.019149068,8.045542668,8.046678586,7.488743135,7.680453908,7.601231522,7.431701462,7.768953325,7.89203861,7.822596898,8.067115056,7.961575834,7.455150939,7.725702837,7.838604772,7.592838074,7.302385504,7.536029733,7.949461389,8.147574139,7.917835483,8.238071636
O43175,8.129842056,8.18504379,8.075932557,7.972732005,8.067374966,7.949316583,7.90507877,8.192076832,7.985268324,7.533135088,7.987272677,8.231792611,8.183091907,8.108924095,8.094796014,8.18335184,7.91130329,8.34281752,8.275050319,8.229112649,8.209398419,7.735001343
O43242,8.332337777,8.218830539,8.09841013,8.032865478,7.34874637,7.45760734,7.283081048,7.909853925,7.675999627,8.203053924,8.035616042,8.277865423,8.280136266,8.131645866,7.896981315,7.627115676,7.297956799,7.001336811,7.37673648,7.71402633,7.672612701,8.487739403
O43294,7.595726888,7.802457552,7.673366603,7.735105848,7.052850212,7.507835532,7.299916158,7.533258842,7.273882116,6.960028681,7.02215684,7.334706911,7.460520799,7.651683268,7.890119327,7.464593983,7.086552683,7.290504474,7.467151096,7.236256843,7.317616468,7.372585354
O43390,8.120976845,8.263878031,8.158258177,7.962651618,7.547544039,7.506473431,7.317101621,7.405406792,7.404444083,7.430106876,7.467398853,8.24927165,8.23392939,8.258020522,7.917947844,6.892806993,7.311817438,7.347472407,6.918911626,7.571125267,7.270826279,7.66449845
O43396,8.143771313,8.050461778,8.059780896,8.019534174,7.664280578,7.418998703,7.338470308,7.588977119,7.801871206,7.45593647,7.832050159,8.074482498,7.889141475,7.905444291,7.948242419,7.361864262,7.10612992,7.786639497,7.773974726,7.834886581,7.75488697,7.789991234
O43399,8.30207721,8.254754371,8.364942942,8.098467836,8.106798401,7.897883117,7.746320191,8.014202736,8.027292966,7.784640861,8.070485855,7.87537294,8.082057785,8.251063248,8.278227925,8.03539042,7.84372948,8.176604253,8.159602512,8.308810239,8.060268373,8.067438487
O43504,7.700347657,7.679546955,7.81103303,7.700631192,7.495817601,7.459591562,7.271116849,7.466947333,7.562552493,7.391024666,7.555354602,7.617408916,7.577671378,7.642214382,7.882209994,7.106521793,7.318636954,7.517515666,7.622345259,7.831402535,7.661957809,7.713592606
O43617,7.483591935,7.429497486,7.520776903,7.367939875,7.203559741,7.09361467,7.809918375,7.337129105,7.162895877,7.117526802,7.187672564,7.167267487,7.241748726,7.457797878,7.560700784,7.195817224,7.312379652,7.127124177,7.209423362,6.879236532,7.039703271,7.406915577
O43681,7.380508476,7.72174276,7.553879207,7.473544438,7.138446152,7.431132088,7.126074426,7.582570415,7.289753364,7.250633345,7.119117886,7.308675674,7.690664154,7.395506382,7.651306348,7.720235434,7.047848723,7.715079024,7.329071359,7.530520558,7.071129686,7.253666953
