"","ctr_1","ctr_2","ctr_3","ctr_4","mg_1","mg_2","mg_3","mg_4"
"Q9C0C9",6.63750908487444,6.37600453504457,6.64903253817736,6.25998943020294,6.90803680890397,6.41243709202685,6.13843917613111,6.08014391582505
"Q9GZL7",7.04301579973232,7.25288825352993,7.12425350347292,6.90115421959162,6.79428293232624,7.11621718266056,6.98148405867692,7.1145166891038
"Q9GZN8",6.96836150986399,7.06393045162837,7.08698109857337,7.28214623915718,6.99098509881293,7.12913361807127,7.14359434294383,7.3410354432147
"Q9GZQ8",7.90880794477064,7.68411473065395,7.69813616892332,7.34672005080107,7.55043686513462,7.45079032459778,7.59576526158792,7.61817820782786
"Q9GZS3",7.30149206786541,7.33015706768431,7.2789764415351,7.26677892663699,7.34171405257521,7.26475215194653,7.32272893207949,7.19336772990427
"Q9GZZ1",6.99884006852605,6.97210491585406,7.0926134304543,6.87257068595729,6.91675332944726,6.74040001945928,6.78122272937038,6.82457574878759
"Q9GZZ9",7.0258410920461,6.94831842257776,7.10473963669773,6.97808622971321,7.11290392869061,7.06733019472254,7.02958548839162,6.87220481495161
"Q9H0B6",6.84026879411346,6.64965951214775,6.72334323765275,6.79784350338263,7.03832273126981,6.75972519106738,6.70600401148106,6.24039942243105
"Q9H0E2",7.00427684995735,7.04197720618298,7.00867956890732,6.98061850551101,6.95302240927828,7.08240556204737,7.10338430171512,6.95166551098373
"Q9H0U4",7.58394737969598,7.68172455671342,7.53875128372327,7.44077418398925,7.05908434489738,7.45511945858679,7.33141981943946,7.3986081293796
"Q9H0V9",6.74746817378945,6.64883696067447,6.62741052845035,6.7461396014359,6.8609066656318,6.47695602196119,6.69580622900428,6.75942782205631
"Q9H223",7.67214282386723,7.4624251653281,7.48538754916824,7.18447032900779,7.55046191102734,7.59595878114095,7.49187726494274,7.45851121867534
"Q9H299",8.16329354881002,8.0629883424749,8.27878080103558,7.5266966416273,8.0224132733464,7.89238811710849,7.71959141894654,7.82577866222356
"Q9H2G2",6.81139201699705,6.89293339260584,6.81745299042971,6.8955358215742,6.7712410126841,6.96305480778782,6.89889174403415,6.93201227747646
"Q9H2U2",7.24674567841442,6.6503941695321,6.97442294098195,7.17726704528583,7.27596453064532,6.43772758893725,6.92143244460651,6.99402693022522
"Q9H307",7.28339750977794,7.25986359305313,7.24417011897471,7.27430833084793,7.07210608664707,7.33614072439081,6.86035143084894,7.17696983102868
"Q9H3P7",7.45744528666636,7.50068699636144,7.49023529390024,7.1087817412623,7.63946486441068,7.43986176605536,7.21478723606754,7.11277091513357
"Q9H3U1",7.23417163360081,7.2877991751379,7.03024070380662,7.02302958110605,7.37755314327952,7.24135389556348,7.28569838502392,7.23181686084412
"Q9H444",7.33974865035461,7.31597892618876,7.27855402250341,7.07768629661229,7.4627821631363,7.10604051903724,7.51528428913784,7.08166711532687
"Q9H488",7.4125042901672,7.57428164107811,7.59147027321237,7.33806554417871,7.26908332630076,7.28609080588626,7.4851148522723,7.59600207314371
"Q9H4A4",7.21743811634844,7.34898486612869,7.39099241127081,7.3105421623759,7.36442274689029,7.31662031407768,7.56929523445429,7.36308921935631
"Q9H4M9",8.33931289732971,8.25931503001084,8.07942567722777,7.20918959707113,8.21587580740912,8.16045997713128,8.0891956022222,8.02513811148357
"Q9H6F5",7.16828573846673,7.17884038461492,7.16324617925918,7.15522355192565,6.95340573025454,7.14702803752732,7.11795678559858,7.20320791814691
"Q9H773",6.96884658295544,6.94276294679515,7.19151659791588,7.09006239675742,6.83852063488011,7.02399152880006,6.94739454233883,7.11885048396744
"Q9H7Z7",6.78376830659995,6.72426980505995,6.68965080647221,6.58163792167696,6.5314622124846,6.90509269557511,6.74808407633167,6.73838486063846
"Q9H8M2",8.03694129689366,8.09654157500373,7.95522469153228,8.00345439892374,7.90283802110163,8.113251687259,7.94240214907074,8.03154002429508
"Q9H8S9",7.38214599247819,7.20516436160878,7.37905297801506,7.35637478286387,7.51425817330351,7.25967845146257,7.51821042120229,7.33971812875083
"Q9H8Y8",7.42796569762808,7.37391542252335,7.44690804975893,7.43910765944375,7.33998812948241,7.2037408200741,7.43912946196985,7.36388228140559
"Q9H910",7.61159000364343,7.78326931471844,7.72717079200829,7.38925327679276,7.34179273789586,7.475145720989,7.732742779859,7.66206700523388
"Q9HAV7",7.40118420903929,7.47810802297311,7.43814992777228,7.44155872200521,7.33356081435802,7.34109984090687,7.36983857992185,7.21875626450914
"Q9HB07",7.80353098225964,7.55787231411435,8.05858820297255,6.61483459083999,7.30917533928073,7.55827638572202,7.70252062566304,7.84504046119972
