1769935_at	YLL027W
1769936_at	YDR069C
1769937_at	YBR084W
1769938_at	YKL132C
1769939_s_at	SPCC16C4.13c
1769940_at	SPCC736.05
1769941_at	SPAPB1E7.01c
1769942_at	YOL005C
1769943_at	YJL200C
1769944_at	SPAC186.02c
1769945_at	YKR092C
1769946_at	YKR042W
1769947_at	SPBC336.04
1769948_at	YMR283C
1769949_at	SPBP8B7.03c
1769950_at	SPCC1281.05
1769951_at	YJL082W
1769952_at	YDL168W
1769953_at	SPAC4C5.01
1769954_at	YGL195W
1769955_at	YGR088W
1769956_at	SPBC29A10.15
1769957_at	SPBC1711.03
1769958_at	YMR135C
1769959_at	YDL085W
1769960_at	SPAC1F12.05
1769961_at	YDL236W
1769962_at	YLR300W
1769963_at	SPAC664.09
1769964_at	SPCC330.10
1769965_at	SPAC17C9.15c
1769966_at	SPAP8A3.13c
1769967_at	YCR036W
1769968_at	YPR184W
1769969_at	SPBC1271.13
1769970_at	SPBC27B12.12c
1769971_at	SPCC1919.15
1769972_at	YHR046C
1769973_at	YGR108W
1769974_at	SPAC17A2.14
1769975_at	SPAC869.01
1769976_at	SPBC14F5.08
1769977_at	YPL078C
1769978_at	YBR095C
1769979_at	YCL032W
1769980_at	SPBC215.07c
1769981_at	YKL135C
1769982_at	YBR076W
1769983_at	SPBC1709.19c
1769984_at	SPBC18E5.04
1769985_at	SPBC13G1.01c
1769986_at	YDL223C
1769987_at	SPAC1783.07c
1769988_at	YNR067C
1769989_at	SPBC83.15
1769990_at	SPBC28E12.02
1769991_at	SPAC15A10.13
1769992_at	YKR086W
1769993_at	YBR186W
1769994_at	YGR104C
1769995_at	SPCC330.05c
1769996_at	SPBC776.11
1769997_at	YAL067C
1769998_at	YLR346C
1769999_at	SPBC3B8.09
1770000_at	SPAC20H4.06c
1770001_at	YDR516C
1770002_at	SPCC1322.14c
1770003_at	YDR239C
1770004_at	SPBC11B10.05c
1770005_at	SPCC622.03c
1770006_at	SPBC83.11
1770007_at	SPCC1281.07c
1770008_at	YIL019W
1770009_at	YMR115W
1770010_at	YDL173W
1770011_at	YOL066C
1770012_at	YCL043C
1770013_at	YFL052W
1770014_at	YEL051W
1770015_at	YOR011W-A
1770016_at	YNL163C
1770017_at	YGL006W
1770018_at	SPAC222.12c
1770019_at	SPCC330.01c
1770020_at	YGL211W
1770021_at	SPAC1851.04c
1770022_at	SPBC646.10c
1770023_at	YDL055C
1770024_at	SPBC19F5.01c
1770025_at	SPBC1105.16c
1770026_at	YBL017C
1770027_at	YPL206C
1770028_at	SPAC3A12.02
1770029_at	SPAC8C9.16c
1770030_at	SPBC56F2.10c
1770031_at	SPBC36B7.07
1770032_at	YPL095C
1770033_at	SPBC409.11
1770034_at	YBR268W
1770035_at	YGL084C
1770036_at	YOL090W
1770037_at	YGL228W
1770038_at	SPAC11D3.02c
1770039_at	YLL051C
1770040_at	YLL014W
1770041_at	SPBP8B7.18c
1770042_at	SPBC1D7.04
1770043_at	YHR170W
1770044_at	YML124C
1770045_at	SPAC11D3.18c
1770046_at	SPAC11E3.14
1770047_at	YHR065C
1770048_at	YOR062C
1770049_at	YOR157C
1770050_at	YOL036W
1770051_s_at	SPCP20C8.02c
1770052_at	SPAC17A2.03c
1770053_at	SPBC1105.07c
1770054_at	YPL067C
1770055_at	YMR306W
1770056_at	YOL145C
1770057_at	SPBC4C3.03
1770058_at	YOL098C
1770059_at	YKL219W
1770060_at	SPAC17A2.01
1770061_at	SPAC57A10.04
1770062_at	YGR178C
1770063_at	YOL021C
1770064_at	SPCC550.14
1770065_at	YBR011C
1770067_at	YJR140C
1770068_at	SPAP19A11.05c
1770069_at	SPCC1183.11
1770071_at	YGR144W
1770072_at	YMR008C
1770073_s_at	YMR322C
1770074_at	YBR141C
1770075_at	YJL133W
1770076_at	SPAC1B3.04c
1770077_at	SPCC4B3.13
1770078_at	SPCC1672.02c
1770079_at	YNR061C
1770080_at	YDR079W
